File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\404.html,158,137,91,0,20,0,1,3,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,2979,2767,160,0,212,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,2442,2217,254,0,196,0,29,171,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\customize.html,1446,1393,0,0,53,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\getting-started.html,867,758,42,1,92,0,17,136,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\index.html,336,257,5,0,78,3,1,12,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,1913,1702,158,2,203,12,8,62,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\footer.php,43,33,4,0,10,1,0,1,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,119,77,53,10,30,1,12,72,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\header.php,64,49,1,0,14,2,1,11,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\index.php,171,111,12,2,49,8,11,154,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\search.php,133,91,6,2,42,6,0,32,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\searchform.php,7,5,0,0,2,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\single.php,56,36,6,1,20,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\staticpage.php,55,33,5,1,19,0,3,5,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\stream.php,68,42,5,1,23,0,3,4,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\Gruntfile.js,217,33,9,0,6,5,178,419,1,4
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\editor-style.css,43,35,28,0,8,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\style.css,1446,1077,843,0,259,5,110,450,18,78
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\css\docs.css,1085,807,573,0,103,14,175,796,30,83
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\css\pygments-manni.css,67,64,62,0,2,60,1,124,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\application.js,84,57,15,2,19,0,8,28,3,16
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\customizer.js,291,241,71,36,49,7,1,68,0,9
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\filesaver.js,169,145,145,30,7,2,17,79,13,49
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\holder.js,420,353,251,53,49,0,18,68,9,26
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\html5shiv.js,9,5,23,1,1,0,3,12,3,12
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\jquery.js,6,3,749,0,0,1,3,266,3,15
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\jszip.js,1425,858,592,185,143,13,424,2481,18,60
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\less.js,9,2,432,0,0,2,7,358,7,311
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\raw-files.js,4,3,3,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\respond.min.js,7,2,36,0,2,0,3,59,2,45
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\uglify.js,14,1,525,0,1,0,12,71,12,71
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css\bootstrap-responsive.css,1110,1079,718,0,22,0,9,38,9,38
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css\bootstrap-responsive.min.css,10,1,266,0,1,1,8,38,8,38
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css\bootstrap.css,6168,5195,3543,0,956,0,17,107,9,37
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css\bootstrap.min.css,10,1,969,0,1,1,8,37,8,37
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css\normalize.css,534,241,147,0,103,26,190,898,7,29
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\css\bootstrap-theme.css,384,340,261,0,44,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\css\bootstrap-theme.min.css,1,1,45,0,0,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\css\bootstrap.css,6805,5780,3715,0,1014,0,11,47,10,45
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\css\bootstrap.min.css,9,1,1356,0,0,1,8,45,8,45
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,2000,1186,274,199,496,17,318,1609,5,16
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.min.js,6,1,228,1,0,0,5,16,5,16
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\carousel\index.html,202,173,0,0,29,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\carousel\carousel.css,129,74,54,0,30,1,25,154,3,13
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\grid\index.html,120,100,0,0,20,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\grid\grid.css,28,26,20,0,2,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\jumbotron\index.html,112,99,0,0,13,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\jumbotron\jumbotron.css,6,4,3,0,1,0,1,14,1,14
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\jumbotron-narrow\index.html,79,61,0,0,18,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\jumbotron-narrow\jumbotron-narrow.css,80,60,40,0,8,0,12,81,1,6
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\justified-nav\index.html,80,66,0,0,14,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\justified-nav\justified-nav.css,89,78,58,0,7,9,4,59,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar\index.html,84,72,0,0,12,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar\navbar.css,7,6,4,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar-fixed-top\index.html,87,75,0,0,12,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar-fixed-top\navbar-fixed-top.css,5,4,3,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar-static-top\index.html,88,75,0,0,13,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\navbar-static-top\navbar-static-top.css,7,6,4,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\non-responsive\index.html,97,80,0,0,17,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\non-responsive\non-responsive.css,118,83,58,0,16,0,19,89,6,25
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\index.html,128,113,0,0,15,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\offcanvas.js,5,5,5,0,0,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\offcanvas.css,48,34,23,0,6,5,8,27,4,6
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\signin\index.html,47,36,0,0,11,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\signin\signin.css,40,39,30,0,1,0,0,0,0,0
