File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,Complete(danger),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,Complete(danger),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,Complete(danger),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,Complete(danger),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\components.html,Complete(danger),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,@media(min-width: @screen-tablet),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,@media(min-width: @screen-desktop),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,@media(min-width: @screen-large-desktop),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,@media(max-width: @screen-phone-max),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,and(max-width: @screen-tablet-max),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,and(max-width: @screen-desktop-max),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,@media(min-width: @screen-large-desktop),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-row(@gutter: @grid-gutter-width),14,10,8,0,2,0,2,16,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-xs-column(@columns; @gutter: @grid-gutter-width),13,9,8,0,1,0,3,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-sm-column(@columns; @gutter: @grid-gutter-width),13,9,8,0,1,0,3,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-sm-column-offset(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-sm-column-push(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-sm-column-pull(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-md-column(@columns; @gutter: @grid-gutter-width),13,9,8,0,1,0,3,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-md-column-offset(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-md-column-push(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-md-column-pull(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-lg-column(@columns; @gutter: @grid-gutter-width),13,9,8,0,1,0,3,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-lg-column-offset(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-lg-column-push(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.make-lg-column-pull(@columns),4,4,3,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\css.html,.clearfix(),9,9,6,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$(document).off('.data-api'),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$(document).off('.alert.data-api'),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,"$("".btn.danger"").button(""toggle"").addClass(""fat"")",1,1,1,0,0,0,0,0,
